,Province/State,Country/Region,Date,Lat,Long,Confirmed,Deaths,Recovered,MonthYear,Continent
104,Alabama,US,2020-01-22,32.3182,-86.9023,0,0,0,Jan-2020,
105,Alabama,US,2020-01-23,32.3182,-86.9023,0,0,0,Jan-2020,
106,Alabama,US,2020-01-24,32.3182,-86.9023,0,0,0,Jan-2020,
107,Alabama,US,2020-01-25,32.3182,-86.9023,0,0,0,Jan-2020,
108,Alabama,US,2020-01-26,32.3182,-86.9023,0,0,0,Jan-2020,
109,Alabama,US,2020-01-27,32.3182,-86.9023,0,0,0,Jan-2020,
110,Alabama,US,2020-01-28,32.3182,-86.9023,0,0,0,Jan-2020,
111,Alabama,US,2020-01-29,32.3182,-86.9023,0,0,0,Jan-2020,
112,Alabama,US,2020-01-30,32.3182,-86.9023,0,0,0,Jan-2020,
113,Alabama,US,2020-01-31,32.3182,-86.9023,0,0,0,Jan-2020,
114,Alabama,US,2020-02-01,32.3182,-86.9023,0,0,0,Feb-2020,
115,Alabama,US,2020-02-02,32.3182,-86.9023,0,0,0,Feb-2020,
116,Alabama,US,2020-02-03,32.3182,-86.9023,0,0,0,Feb-2020,
117,Alabama,US,2020-02-04,32.3182,-86.9023,0,0,0,Feb-2020,
118,Alabama,US,2020-02-05,32.3182,-86.9023,0,0,0,Feb-2020,
119,Alabama,US,2020-02-06,32.3182,-86.9023,0,0,0,Feb-2020,
120,Alabama,US,2020-02-07,32.3182,-86.9023,0,0,0,Feb-2020,
121,Alabama,US,2020-02-08,32.3182,-86.9023,0,0,0,Feb-2020,
122,Alabama,US,2020-02-09,32.3182,-86.9023,0,0,0,Feb-2020,
123,Alabama,US,2020-02-10,32.3182,-86.9023,0,0,0,Feb-2020,
124,Alabama,US,2020-02-11,32.3182,-86.9023,0,0,0,Feb-2020,
125,Alabama,US,2020-02-12,32.3182,-86.9023,0,0,0,Feb-2020,
126,Alabama,US,2020-02-13,32.3182,-86.9023,0,0,0,Feb-2020,
127,Alabama,US,2020-02-14,32.3182,-86.9023,0,0,0,Feb-2020,
128,Alabama,US,2020-02-15,32.3182,-86.9023,0,0,0,Feb-2020,
129,Alabama,US,2020-02-16,32.3182,-86.9023,0,0,0,Feb-2020,
130,Alabama,US,2020-02-17,32.3182,-86.9023,0,0,0,Feb-2020,
131,Alabama,US,2020-02-18,32.3182,-86.9023,0,0,0,Feb-2020,
132,Alabama,US,2020-02-19,32.3182,-86.9023,0,0,0,Feb-2020,
133,Alabama,US,2020-02-20,32.3182,-86.9023,0,0,0,Feb-2020,
134,Alabama,US,2020-02-21,32.3182,-86.9023,0,0,0,Feb-2020,
135,Alabama,US,2020-02-22,32.3182,-86.9023,0,0,0,Feb-2020,
136,Alabama,US,2020-02-23,32.3182,-86.9023,0,0,0,Feb-2020,
137,Alabama,US,2020-02-24,32.3182,-86.9023,0,0,0,Feb-2020,
138,Alabama,US,2020-02-25,32.3182,-86.9023,0,0,0,Feb-2020,
139,Alabama,US,2020-02-26,32.3182,-86.9023,0,0,0,Feb-2020,
140,Alabama,US,2020-02-27,32.3182,-86.9023,0,0,0,Feb-2020,
141,Alabama,US,2020-02-28,32.3182,-86.9023,0,0,0,Feb-2020,
142,Alabama,US,2020-02-29,32.3182,-86.9023,0,0,0,Feb-2020,
143,Alabama,US,2020-03-01,32.3182,-86.9023,0,0,0,Mar-2020,
144,Alabama,US,2020-03-02,32.3182,-86.9023,0,0,0,Mar-2020,
145,Alabama,US,2020-03-03,32.3182,-86.9023,0,0,0,Mar-2020,
146,Alabama,US,2020-03-04,32.3182,-86.9023,0,0,0,Mar-2020,
147,Alabama,US,2020-03-05,32.3182,-86.9023,0,0,0,Mar-2020,
148,Alabama,US,2020-03-06,32.3182,-86.9023,0,0,0,Mar-2020,
149,Alabama,US,2020-03-07,32.3182,-86.9023,0,0,0,Mar-2020,
150,Alabama,US,2020-03-08,32.3182,-86.9023,0,0,0,Mar-2020,
151,Alabama,US,2020-03-09,32.3182,-86.9023,0,0,0,Mar-2020,
152,Alabama,US,2020-03-10,32.3182,-86.9023,0,0,0,Mar-2020,
153,Alabama,US,2020-03-11,32.3182,-86.9023,0,0,0,Mar-2020,
154,Alabama,US,2020-03-12,32.3182,-86.9023,0,0,0,Mar-2020,
155,Alabama,US,2020-03-13,32.3182,-86.9023,5,0,0,Mar-2020,
156,"Alachua, FL",US,2020-01-22,29.7938,-82.4944,0,0,0,Jan-2020,
157,"Alachua, FL",US,2020-01-23,29.7938,-82.4944,0,0,0,Jan-2020,
158,"Alachua, FL",US,2020-01-24,29.7938,-82.4944,0,0,0,Jan-2020,
159,"Alachua, FL",US,2020-01-25,29.7938,-82.4944,0,0,0,Jan-2020,
160,"Alachua, FL",US,2020-01-26,29.7938,-82.4944,0,0,0,Jan-2020,
161,"Alachua, FL",US,2020-01-27,29.7938,-82.4944,0,0,0,Jan-2020,
162,"Alachua, FL",US,2020-01-28,29.7938,-82.4944,0,0,0,Jan-2020,
163,"Alachua, FL",US,2020-01-29,29.7938,-82.4944,0,0,0,Jan-2020,
164,"Alachua, FL",US,2020-01-30,29.7938,-82.4944,0,0,0,Jan-2020,
165,"Alachua, FL",US,2020-01-31,29.7938,-82.4944,0,0,0,Jan-2020,
166,"Alachua, FL",US,2020-02-01,29.7938,-82.4944,0,0,0,Feb-2020,
167,"Alachua, FL",US,2020-02-02,29.7938,-82.4944,0,0,0,Feb-2020,
168,"Alachua, FL",US,2020-02-03,29.7938,-82.4944,0,0,0,Feb-2020,
169,"Alachua, FL",US,2020-02-04,29.7938,-82.4944,0,0,0,Feb-2020,
170,"Alachua, FL",US,2020-02-05,29.7938,-82.4944,0,0,0,Feb-2020,
171,"Alachua, FL",US,2020-02-06,29.7938,-82.4944,0,0,0,Feb-2020,
172,"Alachua, FL",US,2020-02-07,29.7938,-82.4944,0,0,0,Feb-2020,
173,"Alachua, FL",US,2020-02-08,29.7938,-82.4944,0,0,0,Feb-2020,
174,"Alachua, FL",US,2020-02-09,29.7938,-82.4944,0,0,0,Feb-2020,
175,"Alachua, FL",US,2020-02-10,29.7938,-82.4944,0,0,0,Feb-2020,
176,"Alachua, FL",US,2020-02-11,29.7938,-82.4944,0,0,0,Feb-2020,
177,"Alachua, FL",US,2020-02-12,29.7938,-82.4944,0,0,0,Feb-2020,
178,"Alachua, FL",US,2020-02-13,29.7938,-82.4944,0,0,0,Feb-2020,
179,"Alachua, FL",US,2020-02-14,29.7938,-82.4944,0,0,0,Feb-2020,
180,"Alachua, FL",US,2020-02-15,29.7938,-82.4944,0,0,0,Feb-2020,
181,"Alachua, FL",US,2020-02-16,29.7938,-82.4944,0,0,0,Feb-2020,
182,"Alachua, FL",US,2020-02-17,29.7938,-82.4944,0,0,0,Feb-2020,
183,"Alachua, FL",US,2020-02-18,29.7938,-82.4944,0,0,0,Feb-2020,
184,"Alachua, FL",US,2020-02-19,29.7938,-82.4944,0,0,0,Feb-2020,
185,"Alachua, FL",US,2020-02-20,29.7938,-82.4944,0,0,0,Feb-2020,
186,"Alachua, FL",US,2020-02-21,29.7938,-82.4944,0,0,0,Feb-2020,
187,"Alachua, FL",US,2020-02-22,29.7938,-82.4944,0,0,0,Feb-2020,
188,"Alachua, FL",US,2020-02-23,29.7938,-82.4944,0,0,0,Feb-2020,
189,"Alachua, FL",US,2020-02-24,29.7938,-82.4944,0,0,0,Feb-2020,
190,"Alachua, FL",US,2020-02-25,29.7938,-82.4944,0,0,0,Feb-2020,
191,"Alachua, FL",US,2020-02-26,29.7938,-82.4944,0,0,0,Feb-2020,
192,"Alachua, FL",US,2020-02-27,29.7938,-82.4944,0,0,0,Feb-2020,
193,"Alachua, FL",US,2020-02-28,29.7938,-82.4944,0,0,0,Feb-2020,
194,"Alachua, FL",US,2020-02-29,29.7938,-82.4944,0,0,0,Feb-2020,
195,"Alachua, FL",US,2020-03-01,29.7938,-82.4944,0,0,0,Mar-2020,
196,"Alachua, FL",US,2020-03-02,29.7938,-82.4944,0,0,0,Mar-2020,
197,"Alachua, FL",US,2020-03-03,29.7938,-82.4944,0,0,0,Mar-2020,
198,"Alachua, FL",US,2020-03-04,29.7938,-82.4944,0,0,0,Mar-2020,
199,"Alachua, FL",US,2020-03-05,29.7938,-82.4944,0,0,0,Mar-2020,
200,"Alachua, FL",US,2020-03-06,29.7938,-82.4944,0,0,0,Mar-2020,
201,"Alachua, FL",US,2020-03-07,29.7938,-82.4944,0,0,0,Mar-2020,
202,"Alachua, FL",US,2020-03-08,29.7938,-82.4944,0,0,0,Mar-2020,
203,"Alachua, FL",US,2020-03-09,29.7938,-82.4944,0,0,0,Mar-2020,
204,"Alachua, FL",US,2020-03-10,29.7938,-82.4944,0,0,0,Mar-2020,
205,"Alachua, FL",US,2020-03-11,29.7938,-82.4944,0,0,0,Mar-2020,
206,"Alachua, FL",US,2020-03-12,29.7938,-82.4944,0,0,0,Mar-2020,
207,"Alachua, FL",US,2020-03-13,29.7938,-82.4944,0,0,0,Mar-2020,
208,"Alameda County, CA",US,2020-01-22,37.6017,-121.7195,0,0,0,Jan-2020,
209,"Alameda County, CA",US,2020-01-23,37.6017,-121.7195,0,0,0,Jan-2020,
210,"Alameda County, CA",US,2020-01-24,37.6017,-121.7195,0,0,0,Jan-2020,
211,"Alameda County, CA",US,2020-01-25,37.6017,-121.7195,0,0,0,Jan-2020,
212,"Alameda County, CA",US,2020-01-26,37.6017,-121.7195,0,0,0,Jan-2020,
213,"Alameda County, CA",US,2020-01-27,37.6017,-121.7195,0,0,0,Jan-2020,
214,"Alameda County, CA",US,2020-01-28,37.6017,-121.7195,0,0,0,Jan-2020,
215,"Alameda County, CA",US,2020-01-29,37.6017,-121.7195,0,0,0,Jan-2020,
216,"Alameda County, CA",US,2020-01-30,37.6017,-121.7195,0,0,0,Jan-2020,
217,"Alameda County, CA",US,2020-01-31,37.6017,-121.7195,0,0,0,Jan-2020,
218,"Alameda County, CA",US,2020-02-01,37.6017,-121.7195,0,0,0,Feb-2020,
219,"Alameda County, CA",US,2020-02-02,37.6017,-121.7195,0,0,0,Feb-2020,
220,"Alameda County, CA",US,2020-02-03,37.6017,-121.7195,0,0,0,Feb-2020,
221,"Alameda County, CA",US,2020-02-04,37.6017,-121.7195,0,0,0,Feb-2020,
222,"Alameda County, CA",US,2020-02-05,37.6017,-121.7195,0,0,0,Feb-2020,
223,"Alameda County, CA",US,2020-02-06,37.6017,-121.7195,0,0,0,Feb-2020,
224,"Alameda County, CA",US,2020-02-07,37.6017,-121.7195,0,0,0,Feb-2020,
225,"Alameda County, CA",US,2020-02-08,37.6017,-121.7195,0,0,0,Feb-2020,
226,"Alameda County, CA",US,2020-02-09,37.6017,-121.7195,0,0,0,Feb-2020,
227,"Alameda County, CA",US,2020-02-10,37.6017,-121.7195,0,0,0,Feb-2020,
228,"Alameda County, CA",US,2020-02-11,37.6017,-121.7195,0,0,0,Feb-2020,
229,"Alameda County, CA",US,2020-02-12,37.6017,-121.7195,0,0,0,Feb-2020,
230,"Alameda County, CA",US,2020-02-13,37.6017,-121.7195,0,0,0,Feb-2020,
231,"Alameda County, CA",US,2020-02-14,37.6017,-121.7195,0,0,0,Feb-2020,
232,"Alameda County, CA",US,2020-02-15,37.6017,-121.7195,0,0,0,Feb-2020,
233,"Alameda County, CA",US,2020-02-16,37.6017,-121.7195,0,0,0,Feb-2020,
234,"Alameda County, CA",US,2020-02-17,37.6017,-121.7195,0,0,0,Feb-2020,
235,"Alameda County, CA",US,2020-02-18,37.6017,-121.7195,0,0,0,Feb-2020,
236,"Alameda County, CA",US,2020-02-19,37.6017,-121.7195,0,0,0,Feb-2020,
237,"Alameda County, CA",US,2020-02-20,37.6017,-121.7195,0,0,0,Feb-2020,
238,"Alameda County, CA",US,2020-02-21,37.6017,-121.7195,0,0,0,Feb-2020,
239,"Alameda County, CA",US,2020-02-22,37.6017,-121.7195,0,0,0,Feb-2020,
240,"Alameda County, CA",US,2020-02-23,37.6017,-121.7195,0,0,0,Feb-2020,
241,"Alameda County, CA",US,2020-02-24,37.6017,-121.7195,0,0,0,Feb-2020,
242,"Alameda County, CA",US,2020-02-25,37.6017,-121.7195,0,0,0,Feb-2020,
243,"Alameda County, CA",US,2020-02-26,37.6017,-121.7195,0,0,0,Feb-2020,
244,"Alameda County, CA",US,2020-02-27,37.6017,-121.7195,0,0,0,Feb-2020,
245,"Alameda County, CA",US,2020-02-28,37.6017,-121.7195,0,0,0,Feb-2020,
246,"Alameda County, CA",US,2020-02-29,37.6017,-121.7195,0,0,0,Feb-2020,
247,"Alameda County, CA",US,2020-03-01,37.6017,-121.7195,0,0,0,Mar-2020,
248,"Alameda County, CA",US,2020-03-02,37.6017,-121.7195,0,0,0,Mar-2020,
249,"Alameda County, CA",US,2020-03-03,37.6017,-121.7195,1,0,0,Mar-2020,
250,"Alameda County, CA",US,2020-03-04,37.6017,-121.7195,1,0,0,Mar-2020,
251,"Alameda County, CA",US,2020-03-05,37.6017,-121.7195,1,0,0,Mar-2020,
252,"Alameda County, CA",US,2020-03-06,37.6017,-121.7195,1,0,0,Mar-2020,
253,"Alameda County, CA",US,2020-03-07,37.6017,-121.7195,2,0,0,Mar-2020,
254,"Alameda County, CA",US,2020-03-08,37.6017,-121.7195,2,0,0,Mar-2020,
255,"Alameda County, CA",US,2020-03-09,37.6017,-121.7195,2,0,0,Mar-2020,
256,"Alameda County, CA",US,2020-03-10,37.6017,-121.7195,0,0,0,Mar-2020,
257,"Alameda County, CA",US,2020-03-11,37.6017,-121.7195,0,0,0,Mar-2020,
258,"Alameda County, CA",US,2020-03-12,37.6017,-121.7195,0,0,0,Mar-2020,
259,"Alameda County, CA",US,2020-03-13,37.6017,-121.7195,0,0,0,Mar-2020,
260,Alaska,US,2020-01-22,61.3707,-152.4044,0,0,0,Jan-2020,
261,Alaska,US,2020-01-23,61.3707,-152.4044,0,0,0,Jan-2020,
262,Alaska,US,2020-01-24,61.3707,-152.4044,0,0,0,Jan-2020,
263,Alaska,US,2020-01-25,61.3707,-152.4044,0,0,0,Jan-2020,
264,Alaska,US,2020-01-26,61.3707,-152.4044,0,0,0,Jan-2020,
265,Alaska,US,2020-01-27,61.3707,-152.4044,0,0,0,Jan-2020,
266,Alaska,US,2020-01-28,61.3707,-152.4044,0,0,0,Jan-2020,
267,Alaska,US,2020-01-29,61.3707,-152.4044,0,0,0,Jan-2020,
268,Alaska,US,2020-01-30,61.3707,-152.4044,0,0,0,Jan-2020,
